                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                0.50121,                0.43638,                0.97872,                0.83067,                0.79966,                0.83659,                0.68276,                0.71794,                0.77356,                 1.1058,             0.00035758,             0.00035758,             0.00035758
                    139,                0.50947,                0.44045,                 0.9847,                0.79421,                0.80996,                0.84385,                 0.6891,                0.73251,                0.80211,                 1.1121,             0.00035208,             0.00035208,             0.00035208
                    140,                0.50231,                0.42624,                0.97888,                0.84838,                0.77851,                0.82727,                0.67651,                0.75372,                 0.8277,                 1.1361,             0.00034658,             0.00034658,             0.00034658
                    141,                0.50858,                0.43357,                 0.9756,                0.83437,                0.77207,                0.82795,                0.67245,                0.73874,                0.80201,                 1.1169,             0.00034108,             0.00034108,             0.00034108
                    142,                0.50848,                0.42916,                0.97862,                0.85004,                0.81144,                0.83601,                0.67605,                0.72141,                0.74505,                 1.0925,             0.00033558,             0.00033558,             0.00033558
                    143,                0.50344,                0.43306,                0.97426,                0.83107,                 0.8259,                0.84979,                0.68938,                0.70296,                0.71622,                  1.077,             0.00033008,             0.00033008,             0.00033008
                    144,                0.50802,                0.42641,                0.97675,                0.83215,                0.81894,                0.85535,                0.69889,                 0.7137,                0.71256,                  1.074,             0.00032458,             0.00032458,             0.00032458
                    145,                0.49811,                0.43018,                0.96851,                0.86221,                0.82161,                0.85104,                0.69716,                0.75047,                0.71231,                 1.1338,             0.00031908,             0.00031908,             0.00031908
                    146,                0.49287,                0.42901,                0.96796,                0.86723,                0.80374,                0.86185,                0.70561,                0.70988,                0.71084,                 1.0971,             0.00031358,             0.00031358,             0.00031358
                    147,                0.48863,                0.42343,                0.98106,                0.84097,                0.78924,                0.85129,                0.69739,                0.73574,                0.74783,                 1.1007,             0.00030808,             0.00030808,             0.00030808
                    148,                0.50793,                0.42917,                0.97784,                0.83048,                0.82074,                0.84856,                0.69089,                0.71238,                0.70493,                 1.0924,             0.00030258,             0.00030258,             0.00030258
                    149,                 0.4805,                0.40899,                0.97251,                0.85964,                0.80363,                0.85438,                0.69909,                0.73055,                0.71554,                 1.1201,             0.00029708,             0.00029708,             0.00029708
                    150,                0.48574,                0.41036,                0.97213,                0.86302,                0.80506,                0.85388,                0.69964,                0.72833,                0.71744,                 1.1144,             0.00029158,             0.00029158,             0.00029158
